link,title,description,rake_results,textrank_results,kpe_results,wordcloud_results,IsPrivateEquity
https://www.tutis.com.au/,Training Compliance Software Solutions | Tutis Operations,The Tutis training compliance software solutions take the complexity and risk out of compliance management. Tutis provides cloud based solutions across workforce capability  skillset and training management,"['multiple spread sheets', 'interesting panel session', 'family :"" raleway', 'elaborate flow charts', 'advertising actually reflects', ""900 ',' droid"", '3905 5850 january', '"", paginationautoplay :""', '"", lightboxposttitle :""', '"", lightboxfeaturedimg :""']","['compliance tutis managed service tutis', 'compliance management tutis', 'tutis managed service tutis', 'workforce compliance tutis', 'training compliance management', 'compliance management software solutions', 'training compliance', 'tutis solution training', 'training management solution needs', 'effective compliance management solutions']","['end workforc complianc manag solut', 'latest tuti news', 'servic', 'resourc train council', 'intens industri', 'tuti readi', 'asset', 'execut director', 'new home', 'age care industri']","['width_amount_mmheight', 'assessment_software_solution', 'amount_mmheight_width', 'color_rgba_color', 'mmheight_width_amount', 'top_rgba_rgba', 'tutis_compliance_solution', 'compliance_management_solution', 'compliance_software_solution', 'filter_type_matrix']",False
https://nz.linkedin.com/in/gemma-clancy-790a14161,Gemma Clancy - Founder - SeekaTeacher | LinkedIn,... University of Wellington. Wellington & Wairarapa  New Zealand192 connections ... Company Website: seekateacher.co.nz External link. Company Website ...,[],[],[],[],False
https://www.first2click.com.au/,First2Click Schools: School work | Queensland,Get work in Queensland schools as a teacher aide  cleaner etc.,"['rostering cloud environment', 'remedial action taken', 'calamvale community college', '196 wharf street', '196 wharf st', '17th july 2015', 'f2c participantâ €™', '© 2016 first2click', 'f2c participant suffers', 'f2c participant provides']","['newtown state school springfield central state high school', 'state high school', 'state school', 'highland reserve state school runcorn state school first2click', 'rochedale state high school trinity bay state high school tallebudgera beach outdoor education school', 'bundamba state school park ridge state high school pine rivers', 'macgregor state school stretton state college', 'ipswich special school rochedale state school', 'glenala state high school', 'elanora state high school']","['download', 'multipl school', 'hous', 'work', 'free', 'free first2click school app']","['first_click_school', 'first_click_system', 'participant_access_rce', 'participant_first_click', 'access_rce_first', 'condition_access_rce', 'rce_first_click', 'term_condition_access', 'click_school_app', 'click_school_participant']",False
https://www.teachersaustralia.com.au/,Teachers Australia: Home,STUDENTS LEARN face-to-face or online Australia wide. Our system allows our students' to track their chosen Primary  Secondary or Tertiary teacher to their ...,[],[],[],[],False
https://reliefruler.com.au/,Relief Ruler,Relief Ruler helps schools to connect with their existing relief teachers and ... Drop us a line at sales@reliefruler.com.au and we'll get you started on your way.,"['20 september 2017', 'higher authority within', 'relief ruler holds', 'relief ruler grants', 'relief ruler anonymously', 'relief ruler account', 'receive direct marketing', 'personally identifiable information', 'information voluntarily supplied', 'australian information commissioner']","['teachers relief ruler terms', 'personal information', 'relief ruler abn', 'personal information privacy policy', 'information', 'reliever user information', 'business user information', 'more information', 'relief ruler', 'contact us relief ruler contact customers access']","['person inform purpos', 'collect', 'use', 'hold', 'correct price disclosur', 'teacher relief ruler term', 'school', 'access', 'polici', 'term']","['information_relief_ruler', 'relief_ruler_information', 'personal_information_relief', 'relief_ruler_term', 'access_information_information', 'complaint_relief_ruler', 'personal_information_privacy', 'personal_information_program', 'policy_relief_ruler', 'privacy_officer_detail']",False
https://www.classtime.com/,Classtime,Classtime is a solution for classrooms that complements in-class teaching with immediate feedback on students' level of understanding.,"['якій іншій сесії', 'якщо володієте англійською', 'яка швидко розвивається', 'я пройшла сертифікацію', 'щоб скористатися нею', 'щоб обговорити питання', 'чтобы обсудить вопросы', 'что мы предоставляем', 'что каждый студент', 'учителя могут контролировать']","['sie mit classtime', 'können sie mit classtime', 'sie classtime', 'mit classtime ein', 'з classtime', 'kombinieren sie classtime mit', 'classtime classtime підтримує державні заклади освіти', 'classtime für', 'classtime в щоденній роботі та', 'hausaufgaben mit classtime']","['classroom', 'classtim', 'student', 'school', 'learn', 'teacher bias', 'institut licens', 'time', 'strategi', 'präsenzunterricht onlin pollock technolog']","['digital_escape_room', 'flagship_product_pollock', 'student_level_understanding', 'world_digital_education', 'free_text_question', 'dynamic_professional_learning', 'social_emotional_learning', 'software_creation_company', 'type_strategic_thinking', 'immediate_feedback_student']",False
https://www.nzreliefteachers.co.nz/,NZ Relief Teachers,NZ Relief Teachers keeps all bookings from day to day relief  PRT  CRT and PD courses all in the one place! Location Tools. Using Google Maps  Schools within ...,"['market research purposes', 'internal record keeping', 'http :// www', 'custom reporting segments', 'contractual obligations associated', '5 star rating', '21st july 2014', 'annual registration fee', 'analytics tracking code', 'provide whilst visiting']","['using google maps', 'other information', 'other websites', 'new relievers', 'nz relief teachers', 'third party cookies', 'first party cookies', 'personal information', 'relief teachers', 'multiple relievers']","['school', 'amp centr', 'earli childcar centr princip', 'cooki', 'power search profil', 'calendar relief', 'person inform session', 'locat tool locat', 'new zealand', 'shortlist']","['school_early_childcare', 'early_childcare_centre', 'first_party_cookie', 'school_relief_teacher', 'current_reliever_pool', 'information_relief_teacher', 'relief_teacher_easy', 'reliever_area_reliever', 'response_text_message', 'school_centre_area']",False
https://redp.com.au/key-staff,Key Staff |Teaching jobs in Australia - Resource Ed Personnel,Find Information on Key Staff members at Resource Ed Personnel  RedP. ... From Schools · FAQs · Contact. https://redp.com.au/uploads/images/slide4.,"['whole brain model', 'target ="" _blank', 'style ="" text', 'style ="" float', 'sites n stores', 'shreya gupta canmore', 'medium term vacancies', 'l mail address', 'key selection criteria', 'humble beginnings ...']","['resource ed specialist relief teachers', 'resource ed area', 'helen resource ed personnel', 'abn resource ed personnel', 'resource ed personnel sony', 'resource ed staff', 'resource ed crt', 'resource ed personnel professional development', 'schools teaching', 'resource ed personnel pty ltd']","['teach', 'melbourn', 'resourc', 'teacher', 'casual relief teacher', 'australia', 'interest contact', 'teacher testimoni work holiday visa', 'school leader', 'contact us']","['resource_ed_personnel', 'casual_relief_teaching', 'circle_stack_class', 'class_circle_stack', 'class_fa_class', 'fa_class_circle', 'target_class_fa', 'area_manager_teacher', 'class_twitter_com', 'program_provision_passport']",False
https://www.murdockrecruitment.com/about-us/about-murdock-education/,About Murdock Education - Murdock Education,... and Casual / Contract education professionals to the Early Years and Before and After School Care sector across Australia. Since our launch in 2014  we have ...,"['torres strait peoples', 'thanking receives acknowledgment', 'https :// www', 'https :// danielmorcombe', 'corre \xad\xad\xad ct', 'consumer behavior pattern', 'ambitious annual budgets', '1300 020 364', '‘ oliver ’.', '‘ ghoster ’.']","['murdock education recruitment', 'murdock education', 'murdock early education schools group', 'murdock education recruitment and murdock early education schools group', 'early years recruitment', 'child safety', 'early years education', 'child safety education activities', 'local children', 'non-indigenous children']","['inform', 'grandpar day', 'reconcili week part', 'manag', 'way', 'childcar sector', 'tip', 'murdock educ recruit', 'daniel outdoor classroom day', 'resum']","['murdock_education_recruitment', 'early_childhood_teacher', 'early_year_sector', 'recruitment_specialist_early', 'specialist_early_year', 'aboriginal_torre_people', 'adrian_recruitment_specialist', 'founder_murdock_group', 'owner_founder_murdock', 'sector_owner_founder']",False
https://acmobility.com.au/about-us/,About us - AC Mobility,AC Mobility is based in Malaga  Perth WA and we've been in business since ... Our Atigra Mid Wheel Drive won First Prize  Engineers Australia  Commercial ...,"['water penetrates beneath', 'thoroughly disinfected prior', 'running training sessions', 'remain completely independent', 'rating )/ 575w', 'rating )/ 520w', 'limbo waterproof cast', 'late wednesday afternoon', 'iso 9002 accredited', 'https :// www']","['thumbnailurl', 'molift raiser', 'molift quick raiser', 'smart drive molift', 'r82 mustang airgo fusion molift raiser', 'postural products molift quick raiser', 'smart drive molift quattro', 'hot products molift quick raiser', 'reha molift raiser', 'molift']","['airgo comfort', 'wheelchair adaptor shock', 'airgo fusion', 'molift quick raiser', 'power assist wheelchair devic', 'transport chair', 'adjust quad cane', 'easi', 'rental per week', 'specif molift mover']","['image_net_image', 'net_image_net', 'cloudfront_net_image', 'image_cloudfront_net', 'net_image_cloudfront', 'image_additionalimage_thumbnailurl', 'net_image_additionalimage', 'thumbnailurl_image_net', 'https_image_net', 'thumbnailurl_https_image']",False
https://www.freedommotorsaustralia.com.au/,Freedom Motors Australia,Freedom Motors Australia have been converting standard vehicles into wheelchair accessible vehicles since 1997. We can carry out wheelchair conversions on ...,"['trendline porsche videos', 'tail clipping incl', 'initially became aware', 'https :// dahlengineering', 'fairly regular occurrence', '820mm average jeff', '1800 672 437', '1300 x 1300mm', '0417 930 916', '0410 529 562']","['wheelchair vehicle conversion', 'freedom motors wheelchair vehicle hire plans', 'wheelchair accessible vehicle conversions', 'wheelchair vehicle conversions price', 'freedom van wheelchair conversion', 'wheelchair vehicle hire', 'freedom motors conversion', 'wheelchair conversions', 'vehicle conversions', 'freedom motors van conversions']","['testimoni', 'kia grand carniv', 'freedom motor', 'nsw', 'wheelchair', 'freedom', 'passeng convers', 'aftermarket', 'famili design', 'enquiri form galleri']","['wheelchair_accessible_vehicle', 'wheelchair_docking_system', 'conversion_freedom_motor', 'docking_system_freedom', 'wheelchair_vehicle_conversion', 'freedom_motor_conversion', 'system_freedom_motor', 'freedom_motor_use', 'many_option_available', 'motor_use_wheelchair']",False
https://ig3education.com.au/about-us/,About Us - IG3 Education,IG3 Education Ltd (IG3)   a public unlisted company comprises of two main business areas: IG3 Education  established in Australia in 2001  is a leading Education Solutions Specialists company that delivers ... info@ig3education.com.au.,"['twelve young friends', 'tokelau state 240', 'thin 19mm bezel', 'tanzania qatar 12', 'secure sockets layer', 'po box 1255', 'macao monaco 214', 'lebanon são tomé', 'keeping children happy', 'haiti bouvet island']","['personal information ig3 education', 'ig3 education ltd maxhub', 'ig3 education ltd', 'ig3 education ltd.', 'fiji ig3 education', 'ig3 education ltd head', 'mm ig3 education ltd', 'israel ig3 education ltd', 'classroom licence barbados ig3 education ltd', 'personal information interactive lessons']","['first', 'solut', 'ig3 english', 'student', 'ig3 math softwar', 'phonic', 'maxhub x3 standard seri', 'display specif edutouch', 'year classroom licenc', 'interact teach']","['year_classroom_licence', 'height_adjustable_mobile', 'adjustable_mobile_solution', 'height_adjustable_stand', 'edutouch_height_adjustable', 'electronic_height_adjustable', 'language_market_stage', 'edutouch_interactive_panel', 'algorithm_student_subject', 'assistant_imta_technology']",False
