company,introduction,end_market,industry,link,link_corrected
Ecospectral,"Canberra-based start-up company that makes a sensing and control system for occupancy tracking system, lighting, HVAC and energy control for domestic and commercial customers",Energy efficiency,IT - Software,http://ecospectral.com/,http://ecospectral.com/
Eureka! Group,"commercial product development Commercial physical research, nsk",Commercial businesses,"Services - professional, scientific, and technical",http://eurekaag.com.au/about-us/,http://eurekaag.com.au/about-us/
Boab Medical Technologies,Medical equipment and consumables distribution in diagnostic cardiology space,Distribution,Healthcare,http://www.boabmedical.com/aboutus.html,http://facetmed.com.everyone.domains/
Out Performers,Specialist technology and services provider,Mining,"Mining, oil and gas",http://fluidintel.com/about,http://fluidintel.com/
Frontline Manufacturing,Metal manufacturing,Defence,Manufacturing,http://frontlinemanufacturing.com.au/,http://frontlinemanufacturing.com.au/
Fun Stuff,Educational and therapy resources distribution for people with learning difficulties and special needs,Distribution,Healthcare,http://funstuff.com.au/about-us/,http://funstuff.com.au/about-us/
GMP Pharmaceuticals,Pharmaceuticals and health products,Pharma,Manufacturing,,http://gmp.com.au/
Pharmaceutical Health Supplements business,Pharmaceutical health supplements,Healthcare supplements,Manufacturing,,http://gmp.com.au/
Honeycombes,Specialist equipment distributor,Agriculture,"Mining, oil and gas",http://honeycombes.com.au/,http://honeycombes.com.au/
Hosico Engineering,Complex manufacturing solutions,Various,Manufacturing,http://hosico.com.au/about-us/,http://hosico.com.au/about-us/
Hydroil,Hydraulic and pneumatic cylinder solutions provider,Hydraulics,Manufacturing,http://hydroil.com.au/about-hydroil/,http://hydroil.com.au/about-hydroil/
Hydro Services,provider of irrigation and soil moisture data services,Agriculture,"Services - professional, scientific, and technical",http://hydroservices.co.nz,http://hydroservices.co.nz/
ICL Education Group,Higher education provider,Higher Ed,Education,http://icleducation.ac.nz/,http://icleducation.ac.nz/
InfraRisk,Loan management software,FinTech,IT - Software,http://infrarisk.com/,http://infrarisk.com/
International Seal Company Australia,Engineering and manufacturing services provider,Defence,"Services - professional, scientific, and technical",http://www.isca.com.au/index.php/about-us,http://isca.com.au/index.php/about-us
Lifespot Health,Telemedicine (remote review / diagnosis of skin conditions),Telehealth,Healthcare,,http://lifespot-health.com/
Lifestyle Panel,Hotel in room entertainment provider,Media,Telecommunications,,http://lifestylepanel.com/
Lokaway,Specialty safe locking mechanism manufacturer,Advanced manufacturing,Manufacturing,http://lokawaysafe.com/,http://lokawaysafe.com/
Lumitron,X-ray technology,Various,Manufacturing,http://lumitrontechnologies.com/about-us/,http://lumitrontechnologies.com/tag/image/
Lumitron,,X-ray,"Services - professional, scientific, and technical",http://lumitrontechnologies.com/about-us/,http://lumitrontechnologies.com/tag/image/
Magellan Powertronics,Energy management products and services,Energy efficiency,Manufacturing,http://magellanpower.com.au/,http://magellanpower.com.au/
Marcem Australia,"Engineering services (commissioning, maintenance, mechanical, flange)","Mining, power, oil & gas",Services - other,http://www.marcem.com.au/,http://marcem.com.au/
Medical Business Systems,Anaestheticts management software,Healthcare,IT - Software,http://medicalbusinesssystems.com.au/,http://medicalbusinesssystems.com.au/
Medical Devices,Medical device distribution,Medical devices,Healthcare,http://medicaldevices.com.au,http://medicaldevices.com.au/
MEMKO,"Provider of engineering services, software solutions and training to different industries",Defence,"Services - professional, scientific, and technical",http://memko.com.au/engineering/,http://memko.com.au/engineering
Metlabs Australia,Non destructive testing and inspection services to different industries,Inspection and testing,"Services - professional, scientific, and technical",http://metlabsaust.com.au/metlabs-australia-non-destructive-testing-made-safer-smarter-faster-better/,http://metlabsaust.com.au/metlabs-australia-non-destructive-testing-made-safer-smarter-faster-better/
Modus Security,Cyber Security IT consulting services,IT,"Services - professional, scientific, and technical",http://modussecurity.com.au/,http://modussecurity.com.au/
MPS,Medical dispensing and dosage technology,Aged care,Healthcare,http://mps-aust.com.au/,http://mpsconnect.com.au/
Nav Labs (Aus),Food laboratory services to manufacturing industry,Inspection and testing,"Services - professional, scientific, and technical",http://navlabs.com.au/nav-labs/,http://navlabs.com.au/nav-labs/
Nav Labs (Aus),Food laboratory services to manufacturing industry,Inspection and testing,"Services - professional, scientific, and technical",http://navlabs.com.au/nav-labs/,http://navlabs.com.au/nav-labs/
NetBookings,reservations platform,Hospitality,IT - Software,http://netbookings.com.au/,http://netbookings.com.au/
Agmin Chelates,Manufacturer of products to agricultural and livestock industries,Agriculture,Manufacturing,http://nutrimin.com.au/about-agmin/,http://nutrimin.com.au/about-agmin/
NZ Scaffolding Group,Scaffolding solutions,Residential and commercial clients,Services - other,,http://nzsgroup.co.nz/
exeed,IT Distributor,IT,Wholesale trade,http://online.exeed.co.nz/,http://online.exeed.co.nz/
Silver Trowel Trade Training,Vocational training and apprenticeships,Building & construction,Education,http://silvertrowel.com.au/,http://online-student-tests.silvertrowel.com.au/
Pain Doctors,chronic pain management centre,Healthcare,Healthcare,http://paindoctors.com.au/,http://paindoctors.com.au/
Pasture Genetics,"Specialist seed producer, marketer, and supplier",Agriculture,Agriculture,http://pasturegenetics.com/,http://pasturegenetics.com/
Personnel Manager,Workforce management software,SME,IT - Software,http://www.personnelmanager.com.au/,http://personnelmanager.com.au/
Price Point Medical,Healthcare equipment finance,Medical equipment,Finance and insurance,www.pricepointmedical.com.au,http://pricepointmedical.com.au/
Reddam House,Independent primary and high school,Primary and secondary education,Education,,http://reddamhouse.com/
Riverina Helicopters,Helicopter services provider,Pest control,"Services - professional, scientific, and technical",https://rivheli.com.au/#about-us,http://rivheli.com.au/
RockSmith,Drilling consumables supplier and manufacturer,Mining and exploration,Manufacturing,http://rocksmith.com.au/about/,http://rocksmith.com.au/about/
Rops Engineering Australia,"Design, manufacturing, testing, fitment, repair and certification of ROPS and FOPS for heavy machinery and vehicles",Inspection and certification,"Services - professional, scientific, and technical",http://ropsea.com.au/rops-fops,http://ropsea.com.au/rops-fops
Idiom,Business policies and rules automation software,Corporate,IT - Software,http://www.idiomsoftware.com//Default.aspx,http://sales.idiomsoftware.com/Idiom/idiomblog.nsf/
Schwob's Swiss Bakery,Specialty bread manufacturing,Food,Manufacturing,http://schwobs.com.au/,http://schwobs.com.au/
Shopper Intelligence,Syndicated research to FMCG,FMCG,Services - other,,http://shopperintelligence.com.au/new-zealand/
South East Air Ag,Aerial agricultural services,Pest control,"Services - professional, scientific, and technical",http://southeastairag.com.au/about-south-east-air-ag-esperance,http://southeastairag.com.au/about-south-east-air-ag-esperance
Spectrolab,specialty metallurgical and environmental testing services industry,Testing services,"Services - professional, scientific, and technical",http://spectrolab.com.au/?page_id=18,http://spectrolab.com.au/?page_id=18
Stratafy,"Strata management software to residential, commerical and retail properties",Strata management,IT - Software,http://stratafyconnect.com/about-us/,http://stratafyconnect.com/aboutus/
Sun Brilliance Group,Solar gen project,Solar,Utilities,,http://sunbrilliance.com/
Sydney Pain Management Centre,chronic pain management centre,Healthcare,Healthcare,http://sydneypaincentre.com/,http://sydneypaincentre.com/
Taxi Link Pty Ltd,Operator of ~185 vehicle taxi fleet,Taxi fleets,Transport,www.taxilink.com.au,http://taxilink.com.au/
Tefol,Specialist equipment distributor,Mining,"Mining, oil and gas",https://www.tefol.com.au/contact.php,http://tefol.com.au/contact.php
The Optical Company,Provider of optical solutions,Optical,Healthcare,http://theopticalcompany.com.au/,http://theopticalcompany.com.au/
Thomas Peer Solutions,IT services and management consulting firm offering different IT solutions,IT solutions and services,IT - Software,http://thomaspeer.com.au/,http://thomaspeer.com.au/
Terrey Hills Swim School,Swimming pool and swim school,Leisure,"Arts, entertainment and recreation",http://thswim.com.au/,http://thswim.com.au/
Trac Group Holdings,Solar roof tile manufacturing,Solar,Manufacturing,http://tractile.com.au/tag/trac-group-holdings/,http://tractile.com.au/tag/trac-group-holdings/
Trailco Irrigation,manufacture of travelling irrigators and related products,Agriculture,Manufacturing,http://www.trailco.com.au,http://trailco.com.au/
TSW Global,"chemical analysis and consulting Commercial physical research, nsk",Research organizations,"Services - professional, scientific, and technical",http://www.tswanalytical.com.au/about.html,http://tswanalytical.net.au/about.html
Unlockd,Telco provider with direct advertising revenue model,Mobile,Telecommunications,http://www.unlockd.com/,http://unlockd.co.za/www/content/become-learner
V2 Mining,Tricone bits distributor,Mining,"Mining, oil and gas",http://v2mining.com/,http://v2mining.com/
V2 Mining Services,Drilling consumables distribution and services,Mining and exploration,Wholesale trade,http://v2mining.com/,http://v2mining.com/
Verso,Student learning measurement,Education,IT - Software,http://versoapp.com/,http://versolearning.com/
The Whitehaven Clinic,Rehabilitation facility,Rehabilitation,Healthcare,http://whitehavenclinic.com.au/about-us-3/,http://whitehavenclinic.com.au/about-us-3/
Wireless Anywhere Group,Telecommunications and product buy-back,Business services,Services - other,http://wirelessanywhere.com.au/,http://wirelessanywhere.com.au/
7 Trinity Biotech,Medical water,Medical water,Retail trade,http://www.7trinitybiotech.com/,http://www.7trinitybiotech.com/
AAM Group,"Geospatial Services company specialising in the collection, analysis, presentation and delivery of geospatial information.",Data analytics,IT - Software,,http://www.aamgroup.com/
About Life,Wholefoods large format retailer,Food retail,Services - accommodation and food,www.aboutlife.com.au,http://www.aboutlife.com.au/
Ace Cryogenic,Industrial gases distribution and services to different industries,Industrial gases,Wholesale trade,http://www.acecryogenic.com.au/about-us.html,http://www.acecryogenic.com.au/about-us.html
Advanced Feeds,Manufacturer of vitamin and mineral supplements for animals,Agriculture,Manufacturing,http://www.advancedfeeds.com.au/company_profile.html,http://www.advancedfeeds.com.au/company_profile.html
Advanced PetCare,Pet hospital,Pet healthcare,Healthcare,,http://www.advancedpetcare.com.au/
Aees Group,End-to-end energy management solutions,Energy efficiency,"Services - professional, scientific, and technical",http://www.aeesgroup.com.au/about.htm,http://www.aeesgroup.com.au/about.htm
AEOS Australia,Provides maintenance services and component support to the aviation industry,Defence,"Services - professional, scientific, and technical",http://www.aeos.com.au/capabilities/,http://www.aeos.com.au/capabilities/
Aerotech Australasia,Aviation services provider,Pest control,"Services - professional, scientific, and technical",http://www.aerotech.net.au/about/Corporate,http://www.aerotech.net.au/about/Corporate
Agent Oriented Software,autonomous and semi-autonomous software systems,"Aerospace, defence, oil & gas, SME",IT - Software,http://www.agent-software.com.au/,http://www.agent-software.com/
AgEtal,Technical support and testing services to the agricultural space,Testing and analysis,"Services - professional, scientific, and technical",http://www.agetal.com.au/,http://www.agetal.com.au/
Agricultural Requirements,manufacturer and distributor of harvesting and irrigation products,Agriculture,Manufacturing,http://www.agrequirements.com.au,http://www.agrequirements.com.au/
AIM Software,Aged care financial management software,Aged care,Healthcare,http://www.aimsoftware.com.au/about.html,http://www.aimsoftware.com.au/about.html
Aircair Aviation,Aerial agricultural services,Pest control,"Services - professional, scientific, and technical",http://www.aircair.com.au/#1#about,http://www.aircair.com.au/
AlfaTest,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",http://alfatest.com.au/our-company/,http://www.alfatest.com.au/our-company/
Auckland Allergy And Eczema Clinic,"Specialist services for allergies, asthma and immune deficiencies",Allergy and asthma,Healthcare,http://www.allergyclinic.co.nz/,http://www.allergyclinic.co.nz/
ALLFLO Pumps & Equipment,Industrial pumps distribution,Pumps,Manufacturing,http://www.allflo.com.au/,http://www.allflo.com.au/
Allunga Exposure,"Durability testing Commercial physical research, nsk",Commercial businesses,"Services - professional, scientific, and technical",http://www.allunga.com.au/aboutus/,http://www.allunga.com.au/aboutus/
Alphabond,Distributor of dental equipment and consumables,Medical equipment,Healthcare,http://www.alphabond.com.au/,http://www.alphabond.com.au/
Amaero,"3D prints metal components and tooling for Aviation, Space, Defence, Automotive and Industrial Applications",Aviation,Manufacturing,http://www.amaero.com.au/about/,http://www.amaero.com.au/about/
Amalgadent,Distributor of dental equipment and consumables,Medical equipment,Healthcare,http://www.amalgadent.com.au/,http://www.amalgadent.com.au/
Anatomics,Specialist medical device manufacturing,Medical,Manufacturing,http://www.anatomics.com,http://www.anatomics.com/
Animal Innovations,Veterinary and animal health products,Veterinary / agriculture,Manufacturing,,http://www.animalinnovations.com.au/
Ant Energy Solutions,Energy management solutions,Energy efficiency,"Services - professional, scientific, and technical",http://www.antsolutions.com.au/,http://www.antsolutions.com.au/
Australian Personnel Group,Labour hire,HR services,Services - other,www.apglobal.com.au,http://www.apglobal.com.au/
Applied Fasteners and Tooling,Offers military and commercial aerospace fasteners and assembly tooling and consumables,Defence,Manufacturing,http://www.appliedfastenersandtooling.com/about-us/,http://www.appliedfastenersandtooling.com/about-us/
Appswiz,App creation,Web apps dev,IT - Software,,http://www.appswiz.com/about/
Aus Group,Diversified Manufacturing,Plastics,Manufacturing,www.ausurethan.com www.aus-styrene.com.au www.cuplex.net.au,http://www.aus-styrene.com.au/
Australian Truck Hire Company,Off road truck hire,Vehicle hire,Transport,http://www.australiantruckhire.com.au/,http://www.australiantruckhire.com.au/
Automaton,Workflow solutions for brands and advertising,Advertising,IT - Software,http://www.automaton.com.au/,http://www.automaton.com.au/
Autopak (Parent company is Autopak-Vetlab Pty Ltd),Contract manufacturing crop protection and industrial chemicals,Pest Control,Manufacturing,http://www.autopak.com.au/,http://www.autopak.com.au/
Autopak (Parent company is Autopak-Vetlab Pty Ltd),Contract manufacturing crop protection and industrial chemicals,Pest Control,Manufacturing,http://www.autopak.com.au/,http://www.autopak.com.au/
Avid Allergy,Specialist services for allergies,Allergy,Healthcare,http://www.avidallergy.com/,http://www.avidallergy.com/
Axent Medical,Importer and distributor of medical device and consumables,Distribution,Healthcare,http://www.axentmedical.com.au/,http://www.axentmedical.com.au/
Back Paddock Company,farm management software,Agriculture,IT - Software,http://www.backpaddock.com.au/,http://www.backpaddock.com.au/
Basair Aviation College,RTO,Aviation,Education,www.basair.com.au/,http://www.basair.com.au/
B.B. Engineering,Manufacturer of quality manchined and turned components,Defence,Manufacturing,http://www.bbengineering.com.au/about_us,http://www.bbengineering.com.au/about_us
Bestlan Group of Companies,Food processor,Fruit and fruit related products,Services - accommodation and food,www.bestlangroup.com.au,http://www.bestlangroup.com.au/
BioSafety,"Equipment and service for decontamination and contamination control in life sciences, pharmaceutical, food and beverage and healthcare industries",Life Science,Wholesale trade,http://www.biosafety.com.au/p-about-us-1.aspx,http://www.biosafety.com.au/p-about-us-1.aspx
BJP,Nutraceutical manufacturer - proprietary products and contract manufacturing. Expansion capital,Pharma,Manufacturing,http://www.bjplaboratories.com.au/,http://www.bjplaboratories.com.au/
Flush Fitness Pty Ltd,Nutrition bars,FMCG,Manufacturing,,http://www.bloomberg.com/profiles/companies/1021142D:AU-flush-fitness-pty-ltd
Boss Engineering,Manufacturer and distributor of farm machinery and parts,Agriculture,Manufacturing,http://bosseng.com.au,http://www.bosseng.com.au/
Bounty Mining Limited,Coal Mine,Mining,"Mining, oil and gas",,http://www.bounty.com.au/
Brightside Scientific,"refrigerator solutions for research Noncommercial research organizations, nsk",Research organizations,"Services - professional, scientific, and technical",http://www.brightsidescientific.com.au/index.php/aboutus/,http://www.brightsidescientific.com.au/index.php/sample/upright-enzyme-and-reagent-freezers-10oc-to-40oc-/508-litre-upright-freezer-27/
The Beauty Therapy College of Australia,Provider of beauty therapy training courses and services,RTO,Education,http://www.btca.com.au/,http://www.btca.com.au/
BusinessCraft,Management software solutions,Residential building and engineering,IT - Software,http://www.businesscraft.com.au/,http://www.businesscraft.com.au/
Capella Science,Laboratory supplies and equipment distribution,Distribution,Wholesale trade,http://www.capellascience.com.au/about/,http://www.capellascience.com.au/about/
CaraData,healthcare-focused software solutions,Healthcare,IT - Software,http://www.caradata.com/,http://www.caradata.com/
Careline Australia,Pharmaceuticals and health products,Pharma,Manufacturing,,http://www.careline.com.au/
Central Data Networks,Radiology and cardiology software,Healthcare,IT - Software,http://www.cdnpacs.com/,http://www.cdnpacs.com/
CDRU,Technology consulting,IT,"Services - professional, scientific, and technical",www.cdru.com.au,http://www.cdru.com.au/
Century Engineering,Offers end-to-end engineering solutions and services across different industries,Defence,Manufacturing,http://www.cenman.com.au/,http://www.cenman.com.au/
Centium Software,Events and hospitality management software,Hospitality and accomodation,IT - Software,http://centiumsoftware.com/,http://www.centiumsoftware.com/
Central Helicopters,Helicopter services provider,Pest control,"Services - professional, scientific, and technical",http://www.centralhelicopters.co.nz/agricultural,http://www.centralhelicopters.co.nz/agricultural
The Certis Group,specialty building certification and testing services industry,Testing services,"Services - professional, scientific, and technical",http://certis.com.au/,http://www.certis.com.au/
Channel Manager,channel management solution,Hospitality,IT - Software,http://www.channelmanager.com.au/,http://www.channelmanager.com.au/
Child Allergy,Specialist services for allergies to children,Allergy,Healthcare,http://www.childallergy.com.au/,http://www.childallergy.com.au/
Cohort Solutions,Specialty education and financial services,International student education,Services - administrative and support,http://cohortsolutions.com/,http://www.cohortsolutions.com/
CommStream Capital,Debt finance to farmers,Agriculture,Finance and insurance,,http://www.commstream.com.au/
Complete Avionics,"Suppliers of avionics, instruments, installation and repairs to the general and regional aviation industry",Defence,Manufacturing,http://www.completeavionics.com/,http://www.completeavionics.com/
Constraint Technologies International,"Software for airlines, airports and railways",Transport,IT - Software,http://www.constrainttec.com/,http://www.constrainttec.com/wp-content/uploads/2015/11/CrewBuddy.pdf
Contour College,"Provider of hairdressing, beauty, makeup and business training courses",RTO,Education,http://www.contourcollege.com.au/,http://www.contourcollege.com.au/info/
Control Systems Technology,Specialist service and equipment provider,Mining,"Mining, oil and gas",http://www.controlsystems.com.au/,http://www.controlsystems.com.au/
Cool Off Pty Ltd,Pet food provider,Pet food,Manufacturing,,http://www.cooloff.com.au/
Cross Hydraulics,Hydraulic products manufacturer,Hydraulics,Wholesale trade,http://www.crosshydraulics.com.au/About_US.html,http://www.crosshydraulics.com.au/About_US.html
Cullys,"Offers electrical, engineering, mechanical and maintenance services to different industries",Defence,"Services - professional, scientific, and technical",http://www.cullys.com.au/,http://www.cullys.com.au/
Currie Group,Digital printing equipment and consumables,Printing equipment and consumables,Wholesale trade,www.curriegroup.com.au,http://www.curriegroup.com.au/
Cutting Edge,Content production services,Film,"Arts, entertainment and recreation",,http://www.cuttingedge.com.au/
Cutting Edge Group,Marketing communications content production,Marketing,"Services - professional, scientific, and technical",,http://www.cuttingedge.com.au/
DADM Enterprises,WH&S compliant transport management and safety systems,Equipment hire and rental,Transport,http://www.dadm.xyz/,http://www.dadm.xyz/
Dance Fever Multisport,Physical education programs,Primary and secondary education,Education,http://www.dancefevermultisport.com/,http://www.dancefevermultisport.com/
Davidson Trahaire Corpsych,EAP and wellbeing services,"Corporate, private, NFP",Services - administrative and support,http://www.davcorp.com.au/,http://www.davcorp.com.au/
Delta Hydraulics,Hydraulic engineering solutions to different industries,Hydraulics,Manufacturing,http://www.delhyd.com.au/about/,http://www.delhyd.com.au/about/
ION Group,Energy retail space,,Utilities,,http://www.delisted.com.au/company/ion-limited
Delta Agribusiness,diversified agricultural products and services provider,Agriculture,Wholesale trade,http://www.deltaagribusiness.com.au,http://www.deltaagribusiness.com.au/
Delta Laboratories,Biopharmaceutical and veterinary pharmaceutical products,Pharma,Manufacturing,,http://www.deltalabs.com.au/
Dexx&R,Investment research company Commercial nonphysical research,Consumers,"Services - professional, scientific, and technical",http://www.dexxr.com.au/,http://www.dexxr.com.au/
Dicky Bill,"Salad growing, wholesaling, retailing",Salads,Agriculture,http://www.dickybill.com,http://www.dickybill.com/
Dina Corporate,Uniform management services,School uniforms,Retail trade,www.dinacorporate.com.au,http://www.dinacorporate.com.au/
Dingosoft,accounting software solutions,SME,IT - Software,http://www.dingosoft.co/,http://www.dingosoft.co/
Diverse Minds Psychology Clinic,Provides therapies for children with autism and adults with behavioural challenges,Developmental healthcare,Healthcare,http://www.diverseminds.com.au/,http://www.diverseminds.com.au/
Durapol,manufacturer of EPDM rubber wetpour for playground applications,Education,Manufacturing,http://www.durapol.com.au,http://www.durapol.com.au/
Equal Access Funding,Affordable personal injury claims,Personal injury claimants,"Services - professional, scientific, and technical",http://www.eafunding.com.au/,http://www.eafunding.com.au/
Early Learning Placements,"Casual, contract and permanent staff to early childhood & OOSH industries",Relief teaching,Education,http://www.earlylearningplacements.com.au/about,http://www.earlylearningplacements.com.au/about
HRM Web,Workforce management and cloud software,SME,IT - Software,http://www.easyemployer.com.au/,http://www.easyemployer.com.au/
EcoMed,Distributor of Medical Equipment & Consumables,Hospital and surgical,Healthcare,http://www.ecomed.com.au/about-us/,http://www.ecomed.com.au/about-us/
Edge Electrons Limited,Energy measuring and saving software,,IT - Software,www.edgeelectrons.com,http://www.edgeelectrons.com/
Edwards Group,Laboratory and surgical equipment and consumables distribution,"Life Science, pathology, laboratory, hospital, healthcare",Wholesale trade,http://www.edwardsco.com.au/,http://www.edwardsco.com.au/
EEC Weathertech,Wearing sensing systems,Weather,IT - Hardware,http://www.eecweathertech.com/index.php,http://www.eecweathertech.com/
Elenium Automation,Self service and automation technologies solutions to the aviation industry,Aviation,IT - Software,http://www.elenium.com/,http://www.elenium.com/
Eltec Energy Services,Metering and energy management services,Energy efficiency,"Services - professional, scientific, and technical",http://www.eltecenergy.com.au/Energy-Solutions.aspx,http://www.eltecenergy.com.au/Energy-Solutions.aspx
Ektimo,specialty environmental testing and monitoring services industry,Testing services,"Services - professional, scientific, and technical",http://www.emlair.com.au/,http://www.emlair.com.au/
EML CHEM,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.emlchem.com.au/about-us/contact-us/general-contact-information,http://www.emlchem.com.au/about-us/contact-us/general-contact-information
Empowered Learning,Supplier of AV technologies to schools,Education,Education,http://www.empoweredlearning.com.au/about/,http://www.empoweredlearning.com.au/about/
Enlake,Medical and laboratory refrigeration distribution,Distribution,Wholesale trade,https://www.enlake.com.au/about-enlake.html,http://www.enlake.com.au/about-enlake.html
EPV,Maintenance of specialised truck mounted equipment,"Energy, public transport, telecom, fleet, utilities, fire","Services - professional, scientific, and technical",www.epv.net.au,http://www.epv.net.au/
ESO Surveyors,Construction surveying specialists,Construction,"Services - professional, scientific, and technical",http://www.esosurveyors.com.au/,http://www.esosurveyors.com.au/
ETMC Technologies,"Supplier of products to the defence, aerospace and industrial space",Defence,Retail trade,http://www.etmc.com.au/aboutus.html,http://www.etmc.com.au/aboutus.html
Evocare,"Distributor of lifestyle, mobility and healthcare equipment",Medical equipment,Healthcare,http://www.evocare.com.au/about.html,http://www.evocare.com.au/pdfs/lm3812.pdf
EzyRez,accommodation property management software,Hospitality,IT - Software,http://www.ezyrez.com.au/,http://www.ezyrez.com.au/
UAG Acquaculture,Prawn farm asset in Mackay,Acquaculture,Agriculture,,http://www.fao.org/fishery/countrysector/naso_newzealand/en
FEX Global Futures Exchange,Financial and Energy Exchange,Financial Services,Finance and insurance,,http://www.fex.com.au/
Plus Group Horticulture,integrated horticultural solutions business,Horticulture,Agriculture,http://www.plusgroup.co.nz,http://www.fittestmum.co.nz/
FX2School Pty Ltd,Allows international students and agents to pay ANZ tuition fees,Secondary/University students,IT - Software,http://www.fx2school.com/,http://www.fx2school.com/category/news/
Geowash,Carwash franchise,Autocare,Services - other,,http://www.geowash.com.au/latest-news/geowash-new-zealand/
GMS Composites,Manufacturer of composite prepregs to different industries,Defence,Manufacturing,http://www.gmscomposites.com/,http://www.gmscomposites.com/
Group 10 Consulting Pty Ltd,Government / enterprise IT consulting and testing services,Professional services,IT - Software,,http://www.group10.com.au/
Grünbiotics,Biotechnology company that develops Medical Nutrition products that improve the quality of life for people with chronic diseases and specific health conditions.,Pharmaceutical,Healthcare,http://www.grunbiotics.com/,http://www.grunbiotics.com/
Grunbiotics,Medical functional foods,Medical foods,Healthcare,,http://www.grunbiotics.com/overview
Haeusler's,Specialist equipment distributor,Agriculture,Finance and insurance,http://www.haeuslers.com.au/,http://www.haeuslers.com.au/
Health Careers International Group,"Vocational ed - (Nursing, Health, Aged care)",Allied healthcare services,Education,http://www.hcigroup.com.au/,http://www.hcigroup.com.au/
Healthscope hospitals,Portfolio of Healthscope day surgeries and underperforming hospitals,Hospitals,Healthcare,http://www.healthscope.com.au/,http://www.healthscope.com.au/
Heeson Medical,Oxygen therapy equipment distribution to medical and veterinary industries,Respiratory,Healthcare,http://www.heesonmedical.com.au/,http://www.heesonmedical.com.au/
